x y d_n=1 d_n=3
0.56 -0.085184 0.5677 0.5808
0.57 -0.079507 0.5419 0.5547
0.58 -0.074088 0.5167 0.5292
0.59 -0.068921 0.4921 0.5043
0.6 -0.064 0.4681 0.48
0.61 -0.059319 0.4447 0.4563
0.62 -0.054872 0.4219 0.4332
0.63 -0.050653 0.3997 0.4107
0.64 -0.046656 0.3781 0.3888
0.65 -0.042875 0.3571 0.3675
0.66 -0.039304 0.3367 0.3468
0.67 -0.035937 0.3169 0.3267
0.68 -0.032768 0.2977 0.3072
0.69 -0.029791 0.2791 0.2883
0.7 -0.027 0.2611 0.27
0.71 -0.024389 0.2437 0.2523
0.72 -0.021952 0.2269 0.2352
0.73 -0.019683 0.2107 0.2187
0.74 -0.017576 0.1951 0.2028
0.75 -0.015625 0.1801 0.1875
0.76 -0.013824 0.1657 0.1728
0.77 -0.012167 0.1519 0.1587
0.78 -0.010648 0.1387 0.1452
0.79 -0.009261 0.1261 0.1323
0.8 -0.008 0.1141 0.12
0.81 -0.006859 0.1027 0.1083
0.82 -0.005832 0.0919 0.0972
0.83 -0.004913 0.0817 0.0867
0.84 -0.004096 0.0721 0.0768
0.85 -0.003375 0.0631 0.0675
0.86 -0.002744 0.0547 0.0588
0.87 -0.002197 0.0469 0.0507
0.88 -0.001728 0.0397 0.0432
0.89 -0.001331 0.0331 0.0363
0.9 -0.001 0.0271 0.03
0.91 -0.000729 0.0217 0.0243
0.92 -0.000512 0.0169 0.0192
0.93 -0.000343 0.0127 0.0147
0.94 -0.000216 0.0091 0.0108
0.95 -0.000125 0.0061 0.0075
0.96 -6.4e-05 0.0037 0.0048
0.97 -2.7e-05 0.0019 0.0027
0.98 -8e-06 0.0007 0.0012
0.99 -1e-06 0.0001 0.0003
1 2.36469e-45 0.0001 -1.12938e-19
1.01 1e-06 0.0007 0.0003
1.02 8e-06 0.0019 0.0012
1.03 2.7e-05 0.0037 0.0027
1.04 6.4e-05 0.0061 0.0048
1.05 0.000125 0.0091 0.0075
1.06 0.000216 0.0127 0.0108
1.07 0.000343 0.0169 0.0147
1.08 0.000512 0.0217 0.0192
1.09 0.000729 0.0271 0.0243
1.1 0.001 0.0331 0.03
1.11 0.001331 0.0397 0.0363
1.12 0.001728 0.0469 0.0432
1.13 0.002197 0.0547 0.0507
1.14 0.002744 0.0631 0.0588
1.15 0.003375 0.0721 0.0675
1.16 0.004096 0.0817 0.0768
1.17 0.004913 0.0919 0.0867
1.18 0.005832 0.1027 0.0972
1.19 0.006859 0.1141 0.1083
1.2 0.008 0.1261 0.12
1.21 0.009261 0.1387 0.1323
1.22 0.010648 0.1519 0.1452
1.23 0.012167 0.1657 0.1587
1.24 0.013824 0.1801 0.1728
1.25 0.015625 0.1951 0.1875
1.26 0.017576 0.2107 0.2028
1.27 0.019683 0.2269 0.2187
1.28 0.021952 0.2437 0.2352
1.29 0.024389 0.2611 0.2523
1.3 0.027 0.2791 0.27
1.31 0.029791 0.2977 0.2883
1.32 0.032768 0.3169 0.3072
1.33 0.035937 0.3367 0.3267
1.34 0.039304 0.3571 0.3468
1.35 0.042875 0.3781 0.3675
1.36 0.046656 0.3997 0.3888
1.37 0.050653 0.4219 0.4107
1.38 0.054872 0.4447 0.4332
1.39 0.059319 0.4681 0.4563
1.4 0.064 0.4921 0.48
1.41 0.068921 0.5167 0.5043
1.42 0.074088 0.5419 0.5292
1.43 0.079507 0.5677 0.5547
1.44 0.085184 0.5941 0.5808
1.45 0.091125 0.6211 0.6075
1.46 0.097336 0.6487 0.6348
1.47 0.103823 0.6769 0.6627
1.48 0.110592 0.7057 0.6912
1.49 0.117649 0.7351 0.7203
1.5 0.125 0.7651 0.75
1.51 0.132651 0.7957 0.7803
1.52 0.140608 0.8269 0.8112
1.53 0.148877 0.8587 0.8427
1.54 0.157464 0.8911 0.8748
1.55 0.166375 0.9241 0.9075
